keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,roll_imbalance,hands_imbalance,row_switch_ratio,switch_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,bigram_switches,row_switch_cost,left_rolls,right_rolls
jpsuq,mreob,vyflx,zhtc_,winag,kd___,ganiwboerm,19.9044,9.41%,5.87%,24.88%,34.52%,54.90%,45.10%,51.43%,48.57%,8336488.70,4576852.20,3759636.50,2563896,2421796,1721182,1240308,1183133,1081377
jmsux,preob,vyflq,khtc_,wanig,zd___,ginawboerp,19.9034,9.41%,5.87%,25.16%,34.52%,54.63%,45.37%,51.43%,48.57%,8323280.50,4546944.70,3776335.80,2563896,2421796,1721182,1254588,1183133,1081377
qmsuj,preob,vyflx,zhtc_,wanig,kd___,ginawboerp,19.9005,9.41%,5.87%,25.24%,34.52%,54.54%,45.46%,51.43%,48.57%,8322494.30,4539209.70,3783284.60,2563896,2421796,1721182,1258482,1183133,1081377
jmsuq,preob,vyflx,zhtc_,wanig,kd___,ginawboerp,19.8989,9.41%,5.87%,25.24%,34.52%,54.55%,45.45%,51.43%,48.57%,8324298.50,4541013.90,3783284.60,2563896,2421796,1721182,1258482,1183133,1081377
qmsux,preob,vyflj,zhtc_,wanig,kd___,ginawboerp,19.8964,9.41%,5.87%,25.37%,34.52%,54.53%,45.47%,51.43%,48.57%,8320656.00,4537371.40,3783284.60,2563896,2421796,1721182,1264846,1183133,1081377
_fly_,dreop,wbmuq,_htc_,kinas,jgvxz,sanikpoerd,19.8953,9.83%,3.96%,24.09%,34.26%,52.07%,47.93%,48.99%,51.01%,8543147.50,4448714.00,4094433.50,2442527,2543165,1708281,1200808,1079840,1197571
qmsuj,preob,vyflx,zhtg_,winac,kd___,caniwboerp,19.8937,9.41%,5.87%,25.46%,34.52%,54.56%,45.44%,51.43%,48.57%,8319077.60,4539209.70,3779867.90,2563896,2421796,1721182,1269283,1183133,1081377
jmsuq,preob,vyflx,zhtg_,winac,kd___,caniwboerp,19.8921,9.41%,5.87%,25.46%,34.52%,54.57%,45.43%,51.43%,48.57%,8320881.80,4541013.90,3779867.90,2563896,2421796,1721182,1269283,1183133,1081377
qmsux,preob,vyflj,zhtg_,winac,kd___,caniwboerp,19.8896,9.41%,5.87%,25.59%,34.52%,54.55%,45.45%,51.43%,48.57%,8317239.30,4537371.40,3779867.90,2563896,2421796,1721182,1275647,1183133,1081377
_mup_,lreob,wfydq,_htc_,kinas,jgvxz,sanikboerl,19.8867,9.83%,3.96%,24.64%,34.26%,51.97%,48.03%,48.99%,51.01%,8524991.50,4430558.00,4094433.50,2442527,2543165,1708281,1228309,1079840,1197571
_mub_,lreop,wfydq,_htc_,kinas,jgvxz,sanikpoerl,19.8848,9.83%,3.96%,24.27%,34.26%,52.08%,47.92%,48.99%,51.01%,8545182.70,4450749.20,4094433.50,2442527,2543165,1708281,1210229,1079840,1197571
_mluq,preob,vyfdx,zhtc_,wnaig,jsk__,gianwboerp,19.8811,8.78%,5.52%,28.70%,33.50%,50.73%,49.27%,48.58%,51.42%,8488730.80,4306391.80,4182339.00,2422036,2563656,1670227,1430982,1104553,1210912
_mluq,preob,yvfdx,zhtc_,wnaig,jsk__,gianwboerp,19.8740,8.78%,5.52%,28.70%,33.50%,50.78%,49.22%,48.58%,51.42%,8496421.60,4314082.60,4182339.00,2422036,2563656,1670227,1430982,1104553,1210912
qmsuj,preob,yvflx,zhtc_,wanig,kd___,ginawboerp,19.8721,9.41%,5.87%,25.24%,34.52%,54.71%,45.29%,51.43%,48.57%,8353405.20,4570120.60,3783284.60,2563896,2421796,1721182,1258482,1183133,1081377
