keys_1, keys_2, keys_3, keys_4, keys_5, keys_6, fitness, count_ratio, effort, left_effort, left_effort_ratio, left_count, left_count_ratio, right_effort, right_effort_ratio, right_count, right_count_ratio, bigram_switches, switch_ratio, row_switch_cost, row_switch_ratio
_usbj, laerp, xyvm_, kfocq, wtnih, zdg__, 1.5363, 0.99, 53660318346.10, 27269314320.60, 50.82%, 8607819388, 49.83%, 26391004025.50, 49.18%, 8665191065, 50.17%, 5996457207, 34.72%, 4011667654, 23.23%
_wth_, isnag, zkvc_, jbumq, poerl, _dyfx, 1.5360, 1.10, 53034574197.50, 26595058142.40, 50.15%, 9032057053, 52.29%, 26439516055.10, 49.85%, 8240953400, 47.71%, 5831057777, 33.76%, 4206710973, 24.35%
_wthz, cnaig, _kvd_, jmofx, presu, qlyb_, 1.5358, 0.99, 53683288975.50, 25709721804.40, 47.89%, 8578862411, 49.67%, 27973567171.10, 52.11%, 8694148042, 50.33%, 6027305224, 34.89%, 3985766606, 23.08%
_usbj, laerp, vxym_, kfocq, wtinh, zdg__, 1.5356, 0.99, 53683670151.50, 27288036884.70, 50.83%, 8607819388, 49.83%, 26395633266.80, 49.17%, 8665191065, 50.17%, 5996457207, 34.72%, 4011667654, 23.23%
_wth_, cnaig, _vkdz, jmof_, presu, qlybx, 1.5346, 0.99, 53713021834.00, 25779745406.10, 48.00%, 8578862411, 49.67%, 27933276427.90, 52.00%, 8694148042, 50.33%, 6027305224, 34.89%, 3994133180, 23.12%
_msyx, lreap, bvku_, jfocz, wtinh, qdg__, 1.5342, 1.01, 53463905508.30, 27924394217.40, 52.23%, 8696989710, 50.35%, 25539511290.90, 47.77%, 8576020743, 49.65%, 5984309446, 34.65%, 4205932553, 24.35%
_wthz, cnaig, _vkd_, jmofx, presu, qlyb_, 1.5337, 0.99, 53755857479.90, 25782290308.80, 47.96%, 8578862411, 49.67%, 27973567171.10, 52.04%, 8694148042, 50.33%, 6027305224, 34.89%, 3985766606, 23.08%
_mskx, lreap, yvbu_, jfocz, wtinh, qdg__, 1.5336, 1.01, 53513952550.20, 27974441259.30, 52.28%, 8696989710, 50.35%, 25539511290.90, 47.72%, 8576020743, 49.65%, 5984309446, 34.65%, 4185786393, 24.23%
_wthz, cnaig, _vkdj, _mof_, presu, qlybx, 1.5325, 1.00, 53798357598.90, 26013827798.10, 48.35%, 8618623210, 49.90%, 27784529800.80, 51.65%, 8654387243, 50.10%, 6045305481, 35.00%, 3984057859, 23.07%
_gthq, cinav, _kwdz, jmof_, presu, _lybx, 1.5323, 0.99, 53512383706.60, 25645858196.30, 47.93%, 8596072010, 49.77%, 27866525510.30, 52.07%, 8676938443, 50.23%, 6045388428, 35.00%, 4190917860, 24.26%
_dngj, lreav, _kybx, _htf_, wiosc, zumpq, 1.5295, 1.00, 53542569680.30, 27203738042.50, 50.81%, 8630916124, 49.97%, 26338831637.80, 49.19%, 8642094329, 50.03%, 6049573433, 35.02%, 4242788689, 24.56%
_dng_, lreav, xkby_, zhtwq, fisoc, jump_, 1.5283, 0.99, 53796750893.70, 26969746050.80, 50.13%, 8591155325, 49.74%, 26827004842.90, 49.87%, 8681855128, 50.26%, 6043598448, 34.99%, 4088918446, 23.67%
_ysbx, lreap, _vmd_, jhtwz, gionc, _ukfq, 1.5267, 1.03, 53803098029.70, 27994667906.00, 52.03%, 8748454782, 50.65%, 25808430123.70, 47.97%, 8524555671, 49.35%, 5905673906, 34.19%, 4172904251, 24.16%
_gth_, sanik, zxcvq, _bum_, poerl, jdyfw, 1.5243, 1.04, 53529606293.50, 25938860451.80, 48.46%, 8790261883, 50.89%, 27590745841.70, 51.54%, 8482748570, 49.11%, 5910790746, 34.22%, 4403644087, 25.49%
_kthz, cnaig, _vwd_, jmofx, presu, qlyb_, 1.5243, 0.99, 53947303196.00, 25973736024.90, 48.15%, 8578862411, 49.67%, 27973567171.10, 51.85%, 8694148042, 50.33%, 6027305224, 34.89%, 4087227994, 23.66%
xdng_, lreay, _kbv_, jhtwz, fiosc, _umpq, 1.5241, 0.99, 53895481004.80, 27204163701.50, 50.48%, 8591155325, 49.74%, 26691317303.30, 49.52%, 8681855128, 50.26%, 6043598448, 34.99%, 4122113585, 23.86%
_cth_, lnaig, zjvy_, _fomw, presu, xdbkq, 1.5240, 0.98, 54408208403.10, 25915222212.80, 47.63%, 8568514607, 49.61%, 28492986190.30, 52.37%, 8704495846, 50.39%, 6104935558, 35.34%, 3725864553, 21.57%
