keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,sfs_ratio,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,left_finger_row_switch_ratio,right_finger_row_switch_ratio,finger_row_switch_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls,sfs_count,home_row_balance,left_pinky_ratio,left_ring_ratio,left_middle_ratio,left_index_inner_ratio,left_index_outer_ratio,right_pinky_ratio,right_ring_ratio,right_middle_ratio,right_index_inner_ratio,right_index_outer_ratio,left_pinky_row_switch_ratio,left_ring_row_switch_ratio,left_middle_row_switch_ratio,left_index_row_switch_ratio,right_pinky_row_switch_ratio,right_ring_row_switch_ratio,right_middle_row_switch_ratio,right_index_row_switch_ratio,pinky_balance,ring_balance,middle_balance,index_inner_balance,index_outer_balance,pinky_row_switch_balance,ring_row_switch_balance,middle_row_switch_balance,index_row_switch_balance
qgdfv,nsthm,bcpwk,zluoy,_reai,xj___,whirl,693.364503,0.96%,067.37%←,49.39%,004.75%→,5.30%,54953200167.37,000.21%←,036.61%→,1.44,016.13%→,1.32,1.57,11.63% │ 12.95% │ 11.39% │ 07.76% │ 06.32%,00.61% │ 11.31% │ 08.40% │ 16.84% │ 12.78%,09.21% │ 11.83% │ 14.76% │ 08.56% │ 04.43%,00.32% │ 11.03% │ 14.75% │ 15.83% │ 09.29%,009.01%→ │ 023.12%→ │ 035.53%← │ 031.39%→ │ 939.73%←,00.16% │ 01.72% │ 00.60% │ 02.25%,00.91% │ 01.06% │ 00.43% │ 00.34%,053.55%→ │ 201.41%← │ 043.32%→ │ 184.47%←,34.14%,52.13%,13.73%,046.54%→ │ 007.35%→ │ 1943.82%←,50.05%,49.95%,48.78%,51.22%,27505766832.92,27447433334.45,8426397319,8846613134,8530963781,103331479,61737008,2047330579,3229605295,916314030,007.35%→,11.63%,12.95%,11.39%,7.76%,6.32%,12.78%,16.84%,8.40%,11.31%,0.61%,0.16%,1.72%,0.60%,2.25%,0.34%,0.43%,1.06%,0.91%,009.01%→,023.12%→,035.53%←,031.39%→,939.73%←,053.55%→,201.41%←,043.32%→,184.47%←
qwjfg,asetd,zxcvb,ypul_,hnior,km___,asset,601.888764,2.77%,026.71%→,44.27%,007.93%←,6.57%,58091310064.67,006.70%←,005.63%→,1.55,007.19%→,1.50,1.62,10.87% │ 07.65% │ 11.81% │ 10.65% │ 10.64%,09.72% │ 10.70% │ 07.78% │ 12.29% │ 07.89%,08.50% │ 08.33% │ 15.53% │ 12.06% │ 07.49%,07.13% │ 12.24% │ 10.37% │ 11.83% │ 06.53%,037.78%← │ 037.76%→ │ 051.79%← │ 000.52%→ │ 009.52%←,00.65% │ 00.64% │ 05.60% │ 00.99%,04.54% │ 00.91% │ 05.30% │ 00.00%,100.00%← │ 091.45%→ │ 825.47%← │ 078.00%→,21.97%,65.33%,12.70%,041.60%→ │ 016.60%← │ 092.11%←,51.62%,48.38%,51.91%,48.09%,29987039749.75,28104270314.92,8966056718,8306953735,7647263494,202547019,276364026,2991172499,3169463662,1135407456,016.60%←,10.87%,7.65%,11.81%,10.65%,10.64%,7.89%,12.29%,7.78%,10.70%,9.72%,0.65%,0.64%,5.60%,0.99%,0.00%,5.30%,0.91%,4.54%,037.78%←,037.76%→,051.79%←,000.52%→,009.52%←,100.00%←,091.45%→,825.47%←,078.00%→
___py,oaeiu,zxcvj,qfgrk,dhtns,lmwb_,capewell-dvorak,562.906035,2.97%,074.82%←,53.38%,011.42%→,6.10%,55927291132.40,018.11%→,007.01%→,1.36,001.78%←,1.37,1.35,09.83% │ 07.20% │ 10.41% │ 10.36% │ 07.22%,12.46% │ 08.49% │ 08.81% │ 15.72% │ 09.49%,07.69% │ 08.46% │ 15.30% │ 10.81% │ 04.71%,08.19% │ 09.47% │ 12.54% │ 15.64% │ 07.19%,003.60%← │ 054.21%→ │ 018.19%← │ 021.97%← │ 042.04%→,00.18% │ 00.39% │ 05.43% │ 06.54%,02.57% │ 00.69% │ 02.94% │ 01.16%,083.39%→ │ 092.90%→ │ 865.81%← │ 123.89%←,20.14%,58.89%,20.97%,060.20%→ │ 022.71%← │ 051.59%→,45.02%,54.98%,46.97%,53.03%,25180110721.15,30747180411.25,8113440490,9159569963,9220206363,326842357,186964694,2210536220,2377157072,1053241369,022.71%←,9.83%,7.20%,10.41%,10.36%,7.22%,9.49%,15.72%,8.81%,8.49%,12.46%,0.18%,0.39%,5.43%,6.54%,1.16%,2.94%,0.69%,2.57%,003.60%←,054.21%→,018.19%←,021.97%←,042.04%→,083.39%→,092.90%→,865.81%←,123.89%←
xprty,qshfn,mwcvl,kuioj,daeb_,gz___,xpert-express,539.314108,5.45%,061.17%←,54.51%,013.83%←,9.28%,62422200350.50,045.26%←,021.65%←,1.34,002.28%←,1.36,1.32,04.11% │ 09.58% │ 14.83% │ 13.15% │ 17.57%,09.19% │ 09.29% │ 12.26% │ 09.68% │ 00.36%,02.90% │ 10.28% │ 14.54% │ 12.06% │ 13.46%,06.62% │ 11.18% │ 19.56% │ 09.18% │ 00.23%,1031.40%← │ 000.98%→ │ 020.91%← │ 041.56%← │ 091.24%←,00.07% │ 02.36% │ 06.85% │ 08.32%,07.76% │ 02.28% │ 02.82% │ 00.00%,100.00%← │ 006.53%→ │ 122.94%← │ 053.76%←,42.06%,37.62%,20.32%,008.72%← │ 017.93%← │ 405.01%←,59.23%,40.77%,53.23%,46.77%,36970447574.11,25451752776.39,9195240823,8077769630,9416246607,580739236,360331978,2410329864,1981323184,1602943000,017.93%←,4.11%,9.58%,14.83%,13.15%,17.57%,0.36%,9.68%,12.26%,9.29%,9.19%,0.07%,2.36%,6.85%,8.32%,0.00%,2.82%,2.28%,7.76%,1031.40%←,000.98%→,020.91%←,041.56%←,091.24%←,100.00%←,006.53%→,122.94%←,053.76%←
qfmlw,dstnr,zvgcx,yuobj,iaeh_,pk___,qfmlwy,502.419172,3.34%,046.34%→,55.67%,002.87%←,10.09%,55115428295.91,003.02%←,018.57%→,1.32,007.21%→,1.27,1.37,05.16% │ 09.36% │ 09.44% │ 15.16% │ 11.63%,16.93% │ 11.45% │ 14.97% │ 05.49% │ 00.41%,04.05% │ 09.71% │ 13.45% │ 15.08% │ 08.41%,11.44% │ 11.80% │ 19.53% │ 06.30% │ 00.23%,1164.16%← │ 070.42%← │ 036.96%→ │ 032.38%← │ 031.31%→,00.08% │ 00.23% │ 00.39% │ 04.63%,08.84% │ 00.56% │ 00.13% │ 00.00%,100.00%← │ 161.51%← │ 052.23%→ │ 047.03%→,30.54%,55.82%,13.64%,022.18%→ │ 004.36%← │ 086.19%←,50.74%,49.26%,50.71%,49.29%,27968210155.64,27147218140.27,8758772539,8514237914,9615047638,201383189,375313753,1881858925,2310993092,1743155748,004.36%←,5.16%,9.36%,9.44%,15.16%,11.63%,0.41%,5.49%,14.97%,11.45%,16.93%,0.08%,0.23%,0.39%,4.63%,0.00%,0.13%,0.56%,8.84%,1164.16%←,070.42%←,036.96%→,032.38%←,031.31%→,100.00%←,161.51%←,052.23%→,047.03%→
xympb,nhstg,vfcdk,jwouq,zreia,_l___,hyperdeath,458.077579,0.95%,042.73%←,48.74%,004.35%→,6.89%,54448278041.79,007.87%←,035.51%→,1.45,016.12%→,1.33,1.59,10.98% │ 09.81% │ 09.71% │ 14.48% │ 06.92%,00.58% │ 13.22% │ 13.05% │ 10.52% │ 10.72%,08.76% │ 08.57% │ 12.38% │ 14.76% │ 04.42%,00.36% │ 12.49% │ 19.53% │ 10.37% │ 08.37%,002.42%← │ 006.79%→ │ 025.63%→ │ 009.47%← │ 1089.84%←,00.50% │ 00.61% │ 02.31% │ 00.91%,01.39% │ 00.56% │ 00.91% │ 00.09%,459.33%← │ 044.48%→ │ 160.57%← │ 001.86%→,24.81%,54.09%,21.10%,027.44%→ │ 005.29%→ │ 154.61%←,51.89%,48.11%,48.89%,51.11%,28255421335.76,26192856706.03,8444476269,8828534184,8419128419,96105444,67335061,2112701167,3276070069,1190249506,005.29%→,10.98%,9.81%,9.71%,14.48%,6.92%,10.72%,10.52%,13.05%,13.22%,0.58%,0.50%,0.61%,2.31%,0.91%,0.09%,0.91%,0.56%,1.39%,002.42%←,006.79%→,025.63%→,009.47%←,1089.84%←,459.33%←,044.48%→,160.57%←,001.86%→
wpdgv,rntsf,bkcyz,qxouj,_haei,ml___,blaze-rowstag,219.289463,1.15%,218.33%←,51.95%,000.95%→,5.77%,56028674362.27,001.68%→,033.78%→,1.39,014.32%→,1.29,1.50,13.67% │ 09.20% │ 12.07% │ 10.01% │ 04.63%,04.84% │ 09.02% │ 12.50% │ 14.27% │ 09.79%,09.84% │ 10.38% │ 15.95% │ 10.20% │ 03.39%,02.70% │ 09.14% │ 15.83% │ 14.75% │ 07.82%,039.57%← │ 035.54%→ │ 003.44%→ │ 011.00%← │ 004.45%→,01.86% │ 01.02% │ 02.25% │ 01.65%,00.31% │ 00.43% │ 01.06% │ 00.17%,1250.17%← │ 032.39%→ │ 433.13%← │ 510.26%←,26.71%,53.05%,20.24%,009.56%← │ 007.57%→ │ 000.19%←,49.58%,50.42%,49.76%,50.24%,27776405844.17,28252268518.10,8595414586,8677595867,8972759665,150542787,47291008,1926294784,2908845206,996880576,007.57%→,13.67%,9.20%,12.07%,10.01%,4.63%,9.79%,14.27%,12.50%,9.02%,4.84%,1.86%,1.02%,2.25%,1.65%,0.17%,1.06%,0.43%,0.31%,039.57%←,035.54%→,003.44%→,011.00%←,004.45%→,1250.17%←,032.39%→,433.13%←,510.26%←
qwdrf,asetg,zxcvb,jypl_,huiok,nm___,c-qwerty,183.063046,5.90%,098.30%←,41.76%,039.27%←,8.43%,62630381981.69,037.49%←,069.07%←,1.62,012.36%←,1.70,1.51,10.34% │ 07.30% │ 16.05% │ 16.39% │ 07.82%,16.84% │ 07.05% │ 06.23% │ 11.14% │ 00.85%,08.50% │ 08.33% │ 19.12% │ 16.40% │ 05.86%,12.40% │ 07.09% │ 09.73% │ 11.83% │ 00.75%,1118.53%← │ 034.51%→ │ 157.67%← │ 132.59%← │ 053.58%→,00.65% │ 00.64% │ 12.52% │ 06.39%,05.94% │ 02.00% │ 05.30% │ 00.00%,100.00%← │ 091.45%→ │ 1129.22%← │ 022.83%←,26.48%,51.49%,22.03%,087.69%← │ 074.37%← │ 044.14%→,57.89%,42.11%,58.21%,41.79%,36258795584.25,26371586397.44,10054069906,7218940547,7212551654,677936990,341876062,4144206378,2451141623,1455262363,074.37%←,10.34%,7.30%,16.05%,16.39%,7.82%,0.85%,11.14%,6.23%,7.05%,16.84%,0.65%,0.64%,12.52%,6.39%,0.00%,5.30%,2.00%,5.94%,1118.53%←,034.51%→,157.67%←,132.59%←,053.58%→,100.00%←,091.45%→,1129.22%←,022.83%←
qwdrt,asefg,zxcvb,jykl_,huiop,nm___,c-qwerty-2,165.639070,5.44%,080.13%←,41.76%,039.27%←,8.30%,67199708923.54,052.48%←,069.07%←,1.62,012.36%←,1.70,1.51,09.86% │ 07.06% │ 16.02% │ 10.42% │ 17.04%,15.70% │ 06.58% │ 04.61% │ 10.53% │ 02.19%,08.50% │ 08.33% │ 19.12% │ 09.79% │ 12.47%,12.40% │ 07.09% │ 08.33% │ 11.83% │ 02.15%,350.99%← │ 033.02%→ │ 247.71%← │ 058.47%← │ 008.48%←,00.65% │ 00.64% │ 12.52% │ 04.47%,05.94% │ 01.89% │ 05.30% │ 00.00%,100.00%← │ 091.45%→ │ 1421.14%← │ 014.04%→,33.40%,46.02%,20.58%,247.32%← │ 042.74%← │ 043.89%→,60.39%,39.61%,58.21%,41.79%,40583470653.48,26616238270.06,10054069906,7218940547,7212551654,604189992,335421792,4144206378,2451141623,1433419074,042.74%←,9.86%,7.06%,16.02%,10.42%,17.04%,2.19%,10.53%,4.61%,6.58%,15.70%,0.65%,0.64%,12.52%,4.47%,0.00%,5.30%,1.89%,5.94%,350.99%←,033.02%→,247.71%←,058.47%←,008.48%←,100.00%←,091.45%→,1421.14%←,014.04%→
__uof,eiacy,_jpg_,qklrv,dhtns,bmwxz,gust,150.492272,3.00%,364.69%←,53.71%,000.75%→,5.53%,57171847369.95,007.59%←,019.06%←,1.36,006.67%←,1.40,1.31,14.22% │ 06.29% │ 09.99% │ 15.34% │ 06.00%,07.91% │ 06.61% │ 10.44% │ 13.38% │ 09.83%,11.97% │ 07.82% │ 13.20% │ 12.94% │ 03.89%,05.54% │ 08.03% │ 14.75% │ 14.21% │ 07.65%,044.68%← │ 053.01%→ │ 004.38%→ │ 131.99%← │ 024.19%→,00.00% │ 00.17% │ 08.06% │ 08.29%,00.58% │ 01.84% │ 01.22% │ 00.10%,100.00%→ │ 092.20%→ │ 291.46%← │ 1665.10%←,31.64%,54.64%,13.72%,014.82%← │ 014.91%← │ 028.93%→,51.83%,48.17%,49.81%,50.19%,29630651782.10,27541195587.85,8603946139,8669064314,9277913118,427091451,91909214,2462032655,2067953882,955505027,014.91%←,14.22%,6.29%,9.99%,15.34%,6.00%,9.83%,13.38%,10.44%,6.61%,7.91%,0.00%,0.17%,8.06%,8.29%,0.10%,1.22%,1.84%,0.58%,044.68%←,053.01%→,004.38%→,131.99%←,024.19%→,100.00%→,092.20%→,291.46%←,1665.10%←
_ql_p,arenb,zwhj_,_fudk,gsito,vcymx,arensito-1*,92.722698,3.96%,586.57%←,40.92%,003.46%→,5.68%,59342858577.77,004.90%→,004.49%←,1.64,005.20%←,1.68,1.60,10.77% │ 08.08% │ 18.93% │ 05.73% │ 05.23%,04.23% │ 11.10% │ 09.99% │ 14.72% │ 11.22%,08.40% │ 08.32% │ 20.92% │ 07.72% │ 03.77%,03.13% │ 11.96% │ 12.07% │ 15.22% │ 08.50%,004.02%→ │ 045.10%→ │ 089.58%← │ 048.39%→ │ 023.70%←,00.57% │ 00.49% │ 15.96% │ 00.26%,01.25% │ 01.24% │ 00.44% │ 01.14%,051.10%→ │ 038.62%→ │ 2123.46%← │ 084.28%→,20.02%,60.89%,19.08%,031.61%→ │ 017.11%← │ 031.39%→,48.74%,51.26%,49.12%,50.88%,28925635802.09,30417222775.68,8484507339,8788503114,7068455805,596934216,86943812,3443747159,3295696691,980804485,017.11%←,10.77%,8.08%,18.93%,5.73%,5.23%,11.22%,14.72%,9.99%,11.10%,4.23%,0.57%,0.49%,15.96%,0.26%,1.14%,0.44%,1.24%,1.25%,004.02%→,045.10%→,089.58%←,048.39%→,023.70%←,051.10%→,038.62%→,2123.46%←,084.28%→
ycgmk,rsitw,xfpdv,jhoq_,bneau,zl___,neauwr-bits,91.164311,1.50%,124.15%←,46.90%,003.70%←,7.69%,55939610156.07,017.18%←,014.09%→,1.49,008.87%→,1.43,1.57,11.77% │ 12.38% │ 10.47% │ 14.19% │ 05.14%,02.77% │ 16.67% │ 15.50% │ 07.33% │ 03.78%,08.42% │ 11.96% │ 11.78% │ 15.22% │ 03.51%,01.98% │ 16.44% │ 19.53% │ 08.37% │ 02.78%,211.64%← │ 068.84%← │ 032.44%→ │ 014.85%→ │ 085.52%←,02.57% │ 01.47% │ 04.57% │ 00.56%,01.87% │ 00.56% │ 00.09% │ 00.00%,100.00%← │ 2164.96%← │ 391.28%← │ 069.64%→,27.44%,54.89%,17.66%,005.23%← │ 003.09%← │ 112.98%←,53.95%,46.05%,50.91%,49.09%,30181832186.85,25757777969.22,8793184350,8479826103,8101708201,178932507,79826308,2636864408,3069327046,1328747674,003.09%←,11.77%,12.38%,10.47%,14.19%,5.14%,3.78%,7.33%,15.50%,16.67%,2.77%,2.57%,1.47%,4.57%,0.56%,0.00%,0.09%,0.56%,1.87%,211.64%←,068.84%←,032.44%→,014.85%→,085.52%←,100.00%←,2164.96%←,391.28%←,069.64%→
qwert,asdfg,zxcvb,yuio_,hjklp,nm___,qwerty-p,85.071602,6.95%,063.79%←,41.76%,039.27%←,8.30%,73889809741.45,032.25%←,069.07%←,1.62,012.36%←,1.70,1.51,09.02% │ 06.69% │ 16.65% │ 09.08% │ 15.51%,17.55% │ 05.77% │ 06.72% │ 10.90% │ 02.12%,08.50% │ 08.33% │ 19.12% │ 09.79% │ 12.47%,13.87% │ 05.61% │ 08.33% │ 11.83% │ 02.15%,325.63%← │ 038.64%→ │ 147.78%← │ 057.46%← │ 011.65%→,00.65% │ 00.64% │ 16.81% │ 04.47%,09.51% │ 01.89% │ 05.30% │ 00.00%,100.00%← │ 091.45%→ │ 1942.34%← │ 046.26%→,50.10%,29.08%,20.82%,060.47%← │ 088.79%← │ 048.63%→,56.94%,43.06%,58.21%,41.79%,42074433259.29,31815376482.16,10054069906,7218940547,7212551654,745839318,455357866,4144206378,2451141623,1433419074,088.79%←,9.02%,6.69%,16.65%,9.08%,15.51%,2.12%,10.90%,6.72%,5.77%,17.55%,0.65%,0.64%,16.81%,4.47%,0.00%,5.30%,1.89%,9.51%,325.63%←,038.64%→,147.78%←,057.46%←,011.65%→,100.00%←,091.45%→,1942.34%←,046.26%→
qwert,asdfg,zxcvb,yuiop,hjkl_,nm___,qwerty,84.974318,6.95%,063.79%←,41.76%,039.27%←,8.30%,74659353716.25,029.12%←,069.07%←,1.62,012.36%←,1.70,1.51,08.92% │ 06.62% │ 16.48% │ 08.98% │ 15.35%,17.40% │ 05.72% │ 06.68% │ 10.93% │ 02.91%,08.50% │ 08.33% │ 19.12% │ 09.79% │ 12.47%,13.87% │ 05.61% │ 08.33% │ 11.83% │ 02.15%,206.43%← │ 039.46%→ │ 146.87%← │ 057.02%← │ 011.79%→,00.65% │ 00.64% │ 16.81% │ 04.47%,09.51% │ 01.89% │ 05.30% │ 00.00%,100.00%← │ 091.45%→ │ 1942.34%← │ 046.26%→,52.55%,26.84%,20.61%,038.89%← │ 134.32%← │ 048.67%→,56.36%,43.64%,58.21%,41.79%,42074433259.29,32584920456.96,10054069906,7218940547,7212551654,745839318,455357866,4144206378,2451141623,1433419074,134.32%←,8.92%,6.62%,16.48%,8.98%,15.35%,2.91%,10.93%,6.68%,5.72%,17.40%,0.65%,0.64%,16.81%,4.47%,0.00%,5.30%,1.89%,9.51%,206.43%←,039.46%→,146.87%←,057.02%←,011.79%→,100.00%←,091.45%→,1942.34%←,046.26%→
yclmk,isrtg,vwdjq,zfu__,pneao,bh__x,isrt-angle-mod,51.178343,1.94%,326.96%←,46.83%,004.00%←,5.81%,57485647677.56,014.03%←,006.43%→,1.49,005.10%→,1.46,1.54,15.36% │ 12.06% │ 11.71% │ 10.13% │ 04.02%,05.66% │ 14.21% │ 10.39% │ 06.93% │ 09.53%,10.37% │ 11.47% │ 14.62% │ 11.63% │ 02.90%,03.90% │ 14.36% │ 14.75% │ 08.27% │ 07.75%,061.23%← │ 073.95%← │ 012.69%← │ 028.73%→ │ 029.04%→,04.90% │ 01.83% │ 05.52% │ 00.30%,01.06% │ 01.06% │ 00.00% │ 00.22%,2879.20%← │ 100.00%← │ 416.94%← │ 077.54%→,22.73%,59.98%,17.29%,145.68%← │ 012.15%→ │ 010.40%←,53.28%,46.72%,50.98%,49.02%,30626441139.41,26859206538.15,8805682401,8467328052,8089647911,270866444,63440142,2764222034,2954029710,1003387549,012.15%→,15.36%,12.06%,11.71%,10.13%,4.02%,9.53%,6.93%,10.39%,14.21%,5.66%,4.90%,1.83%,5.52%,0.30%,0.22%,0.00%,1.06%,1.06%,061.23%←,073.95%←,012.69%←,028.73%→,029.04%→,2879.20%←,100.00%←,416.94%←,077.54%→
_ymdf,aersg,xzcv_,jpluq,btnio,kwh__,capewell-0.9.3,44.783787,1.28%,136.32%←,39.21%,001.24%←,6.51%,59417864189.11,003.25%←,006.71%→,1.69,005.47%→,1.64,1.74,10.36% │ 12.90% │ 10.77% │ 10.98% │ 05.80%,03.52% │ 10.64% │ 15.09% │ 10.59% │ 09.36%,08.46% │ 13.80% │ 12.46% │ 11.35% │ 04.24%,02.60% │ 12.63% │ 16.44% │ 10.37% │ 07.66%,010.62%← │ 021.81%← │ 028.66%→ │ 003.18%← │ 064.85%←,00.39% │ 02.10% │ 03.14% │ 01.19%,01.09% │ 00.72% │ 00.91% │ 00.01%,3047.93%← │ 208.21%← │ 229.68%← │ 011.16%←,24.25%,60.65%,15.11%,014.31%← │ 011.59%← │ 036.24%→,50.80%,49.20%,50.31%,49.69%,30183770324.93,29234093864.18,8689855385,8583155068,6772457123,155170207,65661233,3395681521,3639761011,1125165695,011.59%←,10.36%,12.90%,10.77%,10.98%,5.80%,9.36%,10.59%,15.09%,10.64%,3.52%,0.39%,2.10%,3.14%,1.19%,0.01%,0.91%,0.72%,1.09%,010.62%←,021.81%←,028.66%→,003.18%←,064.85%←,3047.93%←,208.21%←,229.68%←,011.16%←
_ymdg,aersf,xzcvj,_wh__,ktnio,bpluq,capewell-0.9.2,44.737510,1.30%,133.95%←,39.28%,002.18%←,6.54%,59464968389.45,004.99%←,005.39%→,1.69,005.14%→,1.64,1.73,10.40% │ 12.98% │ 10.75% │ 10.98% │ 06.11%,03.40% │ 10.71% │ 14.69% │ 10.68% │ 09.30%,08.46% │ 13.80% │ 12.46% │ 11.35% │ 04.47%,02.37% │ 12.63% │ 16.44% │ 10.37% │ 07.66%,011.90%← │ 021.53%← │ 026.81%→ │ 002.50%← │ 079.42%←,00.39% │ 02.10% │ 03.14% │ 01.27%,01.18% │ 00.72% │ 00.91% │ 00.01%,3047.93%← │ 208.21%← │ 229.68%← │ 013.28%←,19.51%,59.77%,20.73%,091.68%← │ 016.67%← │ 057.14%→,51.22%,48.78%,50.54%,49.46%,30456939834.83,29008028554.62,8729616184,8543394269,6784503692,157816692,67458126,3414496957,3608899006,1129832463,016.67%←,10.40%,12.98%,10.75%,10.98%,6.11%,9.30%,10.68%,14.69%,10.71%,3.40%,0.39%,2.10%,3.14%,1.27%,0.01%,0.91%,0.72%,1.18%,011.90%←,021.53%←,026.81%→,002.50%←,079.42%←,3047.93%←,208.21%←,229.68%←,013.28%←
qwudp,asetg,zxcvb,jfyl_,hniro,km___,niro,20.181240,2.12%,395.19%←,43.38%,019.38%←,6.85%,58486745392.50,024.17%←,027.09%←,1.58,003.65%←,1.60,1.55,10.94% │ 07.80% │ 15.23% │ 12.90% │ 08.52%,07.08% │ 11.17% │ 06.30% │ 10.64% │ 09.42%,08.50% │ 08.33% │ 18.08% │ 13.70% │ 05.82%,05.66% │ 12.28% │ 09.29% │ 10.80% │ 07.56%,016.07%← │ 026.68%→ │ 141.76%← │ 015.51%← │ 020.39%←,00.65% │ 00.64% │ 08.09% │ 00.99%,01.29% │ 00.34% │ 00.86% │ 00.00%,100.00%← │ 042.44%→ │ 4597.04%← │ 016.73%→,23.75%,63.45%,12.80%,031.97%← │ 011.18%← │ 096.00%←,55.39%,44.61%,54.42%,45.58%,32396189062.60,26090556329.90,9399385608,7873624845,7493399643,304766738,61545880,3533849632,2780650380,1183463500,011.18%←,10.94%,7.80%,15.23%,12.90%,8.52%,9.42%,10.64%,6.30%,11.17%,7.08%,0.65%,0.64%,8.09%,0.99%,0.00%,0.86%,0.34%,1.29%,016.07%←,026.68%→,141.76%←,015.51%←,020.39%←,100.00%←,042.44%→,4597.04%←,016.73%→
qwkrf,dsatn,zxcvb,yuijp,hoel_,gm___,carpax-qwkrfy,12.888717,6.09%,021.63%→,46.50%,010.18%←,9.28%,61555427426.97,010.39%←,004.46%←,1.50,002.65%→,1.48,1.52,05.04% │ 07.06% │ 10.06% │ 15.82% │ 14.48%,11.21% │ 13.17% │ 15.65% │ 03.87% │ 03.63%,04.05% │ 08.33% │ 12.34% │ 16.40% │ 11.30%,08.43% │ 12.94% │ 19.56% │ 04.50% │ 02.15%,039.02%← │ 082.68%← │ 035.71%→ │ 020.08%← │ 029.17%←,00.08% │ 00.64% │ 09.53% │ 05.20%,13.87% │ 02.28% │ 00.02% │ 00.00%,100.00%← │ 5608.64%← │ 163.52%← │ 051.40%→,31.32%,54.52%,14.16%,021.79%→ │ 030.11%← │ 026.11%←,52.47%,47.53%,52.42%,47.58%,32297383897.31,29258043529.66,9054898828,8218111625,8031920141,461862872,589322043,2950972966,2825006548,1603008500,030.11%←,5.04%,7.06%,10.06%,15.82%,14.48%,3.63%,3.87%,15.65%,13.17%,11.21%,0.08%,0.64%,9.53%,5.20%,0.00%,0.02%,2.28%,13.87%,039.02%←,082.68%←,035.71%→,020.08%←,029.17%←,100.00%←,5608.64%←,163.52%←,051.40%→
plum_,reado,kjvb_,_cfgq,nthis,_wxyz,plum,7.111881,4.51%,172.17%←,36.77%,015.62%←,6.46%,64411241941.93,027.63%←,047.01%←,1.76,019.64%←,1.92,1.60,12.76% │ 16.77% │ 09.52% │ 07.78% │ 09.24%,08.83% │ 12.61% │ 04.43% │ 10.80% │ 07.26%,09.42% │ 16.47% │ 12.13% │ 08.05% │ 07.56%,07.49% │ 13.81% │ 07.06% │ 11.34% │ 06.68%,075.62%← │ 055.34%← │ 114.58%← │ 038.28%→ │ 004.71%←,05.03% │ 06.97% │ 04.12% │ 07.55%,03.66% │ 00.11% │ 03.64% │ 00.17%,4190.71%← │ 178.28%← │ 6076.85%← │ 050.90%←,23.88%,67.35%,08.77%,077.74%← │ 015.73%← │ 013.19%←,56.07%,43.93%,53.62%,46.38%,36114921200.77,28296320741.16,9262116052,8010894401,6350563152,569863673,209378423,4438250972,3019085531,1115538680,015.73%←,12.76%,16.77%,9.52%,7.78%,9.24%,7.26%,10.80%,4.43%,12.61%,8.83%,5.03%,6.97%,4.12%,7.55%,0.17%,3.64%,0.11%,3.66%,075.62%←,055.34%←,114.58%←,038.28%→,004.71%←,4190.71%←,178.28%←,6076.85%←,050.90%←
qfdrm,astnc,zwgvb,ykopx,hueil,_j___,benkeyless,6.603625,1.79%,179.49%←,47.55%,027.99%←,8.64%,59162681616.02,043.95%←,048.79%←,1.48,007.36%←,1.53,1.42,11.30% │ 10.00% │ 11.21% │ 15.60% │ 10.89%,08.22% │ 03.40% │ 15.07% │ 08.82% │ 05.48%,08.50% │ 10.32% │ 14.67% │ 15.10% │ 07.55%,06.38% │ 03.76% │ 19.53% │ 09.73% │ 04.46%,106.11%← │ 013.37%← │ 025.59%→ │ 358.95%← │ 032.49%←,00.65% │ 00.71% │ 00.53% │ 04.91%,01.64% │ 00.56% │ 02.00% │ 00.02%,7970.27%← │ 062.49%→ │ 028.97%→ │ 567.63%←,32.68%,58.18%,09.14%,033.19%← │ 017.75%← │ 3359.49%←,59.01%,40.99%,56.14%,43.86%,34910863266.22,24251818349.80,9696873746,7576136707,8213040790,227573685,81424410,3346018403,2248840462,1492727283,017.75%←,11.30%,10.00%,11.21%,15.60%,10.89%,5.48%,8.82%,15.07%,3.40%,8.22%,0.65%,0.71%,0.53%,4.91%,0.02%,2.00%,0.56%,1.64%,106.11%←,013.37%←,025.59%→,358.95%←,032.49%←,7970.27%←,062.49%→,028.97%→,567.63%←
